## OFFICIAL2025GENERALMUNICIPALELECTIONRESULTS

| Registered voters                       | W1P1     | W1P2     | W2P1     | W2P2      | W3P1      | W3P2      | W4P1 1625   | W4P2 W5P1 2679   | 2752   | WSP2. 2609   | W6P1 2789   | W6P2 2634   | W6P2A 175   | W7P1   | W7P2 2165   | W7P2A 102   | W8P1 2794   | W8P2 2473   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   |
| AARONJOLAPADE                           | 335      | 372      | 331      |           | 517       | 680       | 228         | 560              | 461    | 488          | 795         | 618         | 38          | 152    | 221         | 11          | 500         | 415         | 7252          | 7252          | 7252          | 7252          | 7252          | 7252          | 7252          | 7252          |
|                                         |          | 408      |          | 530       |           |           |             |                  |        |              |             |             |             |        |             | 12          |             |             |               |               |               |               |               |               |               |               |
|                                         | 378      |          | 358      | 600       |           |           | 232         | 588              | 471    |              | 722         | 597         |             | 173    | 246         |             | 525         | 429         | 7445          | 7445          | 7445          | 7445          | 7445          | 7445          | 7445          | 7445          |
| ERIKA REINFELD                          | 332      |          | 344      | 551       | 523       | 653       | 218         | 560              |        | 499          |             |             | 36          | 153    |             | 12          | 506         | 389         | 6917          | 6917          | 6917          | 6917          | 6917          | 6917          | 6917          | 6917          |
| PAUL RUSEAU                             | 278      | 355 315  | 331      | 479       | 494 486   | 597 783   | 116         | 431              | 423    | 444          | 069         | 596 501     | 48          | 126    | 129         | 1           | 390         | 243         | 5599          | 5599          | 5599          | 5599          | 5599          | 5599          | 5599          | 5599          |
| USA KINGSLEY                            |          |          |          |           |           |           |             |                  | 213    | 215          | 514         |             | 33          | 134    | 207         | 13          | 500         |             |               |               |               |               |               |               |               |               |
| MICHAELAMASTROBUONI                     | 346      | 388      | 354      | 620       | 550       | 628       | 231         | 568              | 419    | 433          | 618         | 555         |             |        |             |             |             | 868         | 5669          | 5669          | 5669          | 5669          | 5669          | 5669          | 5669          | 5669          |
| JESSICAEPARKS                           | 361      | 411 16   | 329      | 576 4     | 517       | 657 7     | 236 0       | 656 8            | 462    | 470 7        | 673 25      | 588 5       | 36 3        | 161 10 | 204 1       | 10 0        | 502 7       | 418 7       | 7267 133      | 7267 133      | 7267 133      | 7267 133      | 7267 133      | 7267 133      | 7267 133      | 7267 133      |
| Totalnumberofwrite-ins Times BlankVoted | 0 1447   | 1649     | 1.5 1689 | 2460      | 9         |           | 371         | 1653             | 9 946  | 783          | 1764        | 2033        | 177         | 655    | 618         | 12          | 1747        | 1341        | 25098         | 25098         | 25098         | 25098         | 25098         | 25098         | 25098         | 25098         |
| Totai Ballots                           | 755      | 844      | 827      | 1264      | 2787 1259 | 2966 1514 | 349         | 1065             | 729    | 714          | 1233        | 1170        | 346         |        | 404         |             | 772         | 90          |               |               | 15            | 1005          | 14355         |               |               |               |

<!-- image -->

<!-- image -->

<!-- image -->
