## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIAL RESULTS

|                                        | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|----------------------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT4-10(3YRS)                 |         |         |         |         |         |         |         |         |         |         |
| CHRISTOPHERR.JORDAN                    | 161     |         |         |         |         |         |         |         |         | 161     |
| JANETE.MICHALOS                        | 188     |         |         |         |         |         |         |         |         | 188     |
| PAULEDWARDNEEDHAM                      | 192     |         |         |         |         |         |         |         |         | 192     |
| MATTHEWA.PUZEY                         | 147     |         |         |         |         |         |         |         |         | 147     |
| ANNACEMBROLASANGALANG                  | 228     |         |         |         |         |         |         |         |         | 228     |
| JOSEPHPAULSARNO                        | 151     |         |         |         |         |         |         |         |         | 151     |
| TERESAMARIESTEWART                     | 179     |         |         |         |         |         |         |         |         | 179     |
| TIMOTHYLOUISVERROCHI                   | 144     |         |         |         |         |         |         |         |         | 144     |
| COLLINMICHAELBROWN                     | 121     |         |         |         |         |         |         |         |         | 121     |
| MICHAELC.DEMATTIA                      | 66      |         |         |         |         |         |         |         |         | 66      |
| PATRICKC.GRIFFIN                       | 172     |         |         |         |         |         |         |         |         | 172     |
| ROBERTAR.MYERS                         | 147     |         |         |         |         |         |         |         |         | 147     |
| WILLIAMJOSEPHO'DONNELL                 | 214     |         |         |         |         |         |         |         |         | 214     |
| ROBERTSTEVENPESCE                      | 98      |         |         |         |         |         |         |         |         | 98      |
| BRIANPAULSHAGOURY                      | 139     |         |         |         |         |         |         |         |         | 139     |
| KATHERINELAURATREMBLAY                 | 191     |         |         |         |         |         |         |         |         | 191     |
| BLANKS                                 | 2192    |         |         |         |         |         |         |         |         | 2192    |
| WRITE-INS                              | 7       |         |         |         |         |         |         |         |         | 7       |
| SCATTERING                             |         |         |         |         |         |         |         |         |         |         |
| TOTALVOTE                              | 4770    |         |         |         |         |         |         |         |         | 4770    |
| TMM-DISTRICT4-1(2YRS) (TOFILLAVACANCY) |         |         |         |         |         |         |         |         |         |         |
| MATTHEWE.LANE                          | 296     |         |         |         |         |         |         |         |         | 296     |
| BLANKS                                 | 176     |         |         |         |         |         |         |         |         | 176     |
| WRITE-INS                              | 5       |         |         |         |         |         |         |         |         |         |
|                                        |         |         |         |         |         |         |         |         |         | 5       |
| SCATTERING                             |         |         |         |         |         |         |         |         |         |         |
| TOTALVOTE                              | 477     |         |         |         |         |         |         |         |         | 477     |

## ANNUALTOWNELECTION

## MONDAY,APRIL 6,2026

## TOWNOFNORWOOD

## OFFICIALRESULTS

|                        | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT5-10(3YRS) |         |         |         |         |         |         |         |         |         |         |
| JOSEPHS.BARRETT        | 98      |         |         |         |         |         |         |         |         | 98      |
| RICHARDJAMESLAMB       | 89      |         |         |         |         |         |         |         |         | 89      |
| JAMESFRENCHSTROTHER    | 80      |         |         |         |         |         |         |         |         | 80      |
| CHRISTOPHERT.WRISTEN   | 91      |         |         |         |         |         |         |         |         | 91      |
| ARIELHYRE              | 60      |         |         |         |         |         |         |         |         | 60      |
| BLANKS                 | 1029    |         |         |         |         |         |         |         |         | 1029    |
| WRITE-INS              | 3       |         |         |         |         |         |         |         |         | 3       |
| KEVINGERARDMURPHY      | 2       |         |         |         |         |         |         |         |         |         |
| SCATTERING             | 1       |         |         |         |         |         |         |         |         |         |
| TOTALVOTE              | 1452    |         |         |         |         |         |         |         |         | 1452    |

## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIAL RESULTS

|                         | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|-------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT6-10(3YRS)  |         |         |         |         |         |         |         |         |         |         |
| IRENEGOTOVICH           | 101     |         |         |         |         |         |         |         |         | 101     |
| HENRYR.GRAHAM           | 96      |         |         |         |         |         |         |         |         | 96      |
| SHARONF.LEPHEW          | 86      |         |         |         |         |         |         |         |         | 86      |
| KELLYNCATHALEENMARTIN   | 94      |         |         |         |         |         |         |         |         | 94      |
| JOHNW.MCTERNAN          | 85      |         |         |         |         |         |         |         |         | 85      |
