WARD 20, PRECINCT 10 2,163 695 32.13%
WARD 20, PRECINCT 11 890 368 41.35%
WARD 20, PRECINCT 12 1,087 471 43.33%
WARD 20, PRECINCT 13 1,039 410 39.46%
WARD 20, PRECINCT 14 953 411 43.13%
WARD 20, PRECINCT 15 2,001 497 24.84%
WARD 20, PRECINCT 16 2,292 646 28.18%
WARD 20, PRECINCT 17 2,066 734 35.53%
WARD 20, PRECINCT 18 1,049 387 36.89%
WARD 20, PRECINCT 19 1,064 415 39.00%
WARD 20, PRECINCT 20 1,966 558 28.38%
WARD 20, PRECINCT 21 211 38 18.01%
WARD 21, PRECINCT 1 1,799 311 17.29%
WARD 21, PRECINCT 2 570 45 7.89%
WARD 21, PRECINCT 3 1,238 157 12.68%
WARD 21, PRECINCT 4 1,068 146 13.67%
WARD 21, PRECINCT 5 1,536 309 20.12%
WARD 21, PRECINCT 6 1,123 293 26.09%

Page: 8 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 21, PRECINCT 7 1,560 250 16.03%
WARD 21, PRECINCT 8 1,838 350 19.04%
WARD 21, PRECINCT 9 2,495 400 16.03%
WARD 21, PRECINCT 10 1,584 308 19.44%
WARD 21, PRECINCT 11 1,770 351 19.83%
WARD 21, PRECINCT 12 1,574 320 20.33%
WARD 21, PRECINCT 13 2,135 476 22.30%
WARD 21, PRECINCT 14 1,048 224 21.37%
WARD 21, PRECINCT 15 1,275 263 20.63%
WARD 21, PRECINCT 16 1,638 408 24.91%
WARD 22, PRECINCT 1 2,068 369 17.84%
WARD 22, PRECINCT 2 2,523 511 20.25%
WARD 22, PRECINCT 3 1,978 426 21.54%
WARD 22, PRECINCT 4 1,402 413 29.46%
WARD 22, PRECINCT 5 1,748 256 14.65%
WARD 22, PRECINCT 6 1,200 211 17.58%
WARD 22, PRECINCT 7 1,674 377 22.52%
WARD 22, PRECINCT 8 1,264 294 23.26%
WARD 22, PRECINCT 9 1,453 309 21.27%
WARD 22, PRECINCT 10 1,617 389 24.06%
WARD 22, PRECINCT 11 1,138 300 26.36%
WARD 22, PRECINCT 12 1,451 283 19.50%
WARD 22, PRECINCT 13 1,015 240 23.65%
BOSTON - Total 430,528 95,690 22.23%
Cumulative
Cumulative 0 0 N/A
Cumulative - Total 0 0 N/A
CITY - Total 430,528 95,690 22.23%

Page: 9 of 53 11/5/2025 10:30:11 AM
MAYOR (Vote for 1)
=)
B no) = a §
cf 2G = z a o 2
Precinct = 2 8 = Precinct = ke) iS =
CITY CITY
BOSTON BOSTON
WARD 1, PRECINCT 1 350 1,564 45 WARD 1, PRECINCT 1 305 305 17
WARD 1, PRECINCT 2 235 1,429 31 WARD 1, PRECINCT 2 204 204 15
WARD 1, PRECINCT 3 668 3,946 68 WARD 1, PRECINCT 3 600 600 30
WARD 1, PRECINCT 4 253 1,498 29 WARD 1, PRECINCT 4 224 224 13
WARD 1, PRECINCT 5 301 1,734 41 WARD 1, PRECINCT 5 260 260 13
WARD 1, PRECINCT 6 239 1,457 45 WARD 1, PRECINCT 6 194 194 22
WARD 1, PRECINCT 7 282 1,595 41 WARD 1, PRECINCT 7 241 241 17
WARD 1, PRECINCT 8 351 2,078 47 WARD 1, PRECINCT 8 304 304 16
WARD 1, PRECINCT 9 235 1,379 30 WARD 1, PRECINCT 9 205 205 9
WARD 1, PRECINCT 10 119 993 18 WARD 1, PRECINCT 10 101 101 5
WARD 1, PRECINCT 11 382 1,794 106 WARD 1, PRECINCT 11 276 276 34
