<!-- image -->

## OFFICIALRESULTS

## ANNUALTOWNELECTION Milford, Massachusetts

Tuesday, April 1, 2025

| PRECINCT                                        |                                                  | 1      | 2       | 3                          | 4      | 5       | 6       | 7       | 8       | TOTAL     |
| Write-In                                  | (Candidate for Re-election) (Write-in Candidate) | 0                                         | 2                                         | 0                                         | 0                                         | 2                                         | 0                                         | 0                                         | 1                                         | 5                                         |
| Blanks                                    |                                                  | 29                                        | 27                                        | 25                                        | 30                                        | 37                                        | 54                                        | 42                                        | 54                                        | 298                                       |
|                                           | TOTAL                                            | 71                                        | 103                                       | 76                                        | 69                                        | 135                                       | 161                                       | 160                                       | 154                                       | 631                                       |
| FORHOUSINGAUTHORITY                       | FORHOUSINGAUTHORITY                              |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| For Five Years                            |                                                  |                                           | Vote for One                              |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| JENNIFERS.WALSH 16 Annie J. Cir.          | (Candidate for Re-election)                      | 47                                        | 70                                        | 54                                        | 42                                        | 100                                       | 120                                       | 128                                       | 116                                       | 677                                       |
| Write-In                                  | (Write-in Candidate)                             | 0                                         | 2                                         | 0                                         | 0                                         | 2                                         | 1                                         | 0                                         | 0                                         | 5                                         |
| Blanks                                    |                                                  | 24                                        | 31                                        | 22                                        | 27                                        | 33                                        | 40                                        | 32                                        | 38                                        | 247                                       |
|                                           | TOTAL                                            | 71                                        | 103                                       | 76                                        | 69                                        | 135                                       | 161                                       | 160                                       | 154                                       | 682                                       |
| FORCONSTABLE                              | FORCONSTABLE                                     |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| For ThreeYears                            |                                                  |                                           | Vote for Five                             |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| MARKCALZOLAIO 25 Forest St.               | (Candidate for Re-election)                      | 42                                        | 63                                        | 43                                        | 41                                        | 83                                        | 97                                        | 96                                        | 94                                        | 559                                       |
| NADINEE.LADEAU 13 Highland St.            | (Candidate for Re-election)                      | 37                                        | 47                                        | 45                                        | 29                                        | 78                                        | 85                                        | 96                                        | 71                                        | 488                                       |
| RAYMONDG.PAGUCCIJR. 4 Woodridge Rd.       |                                                  | 37                                        | 77                                        | 51                                        | 37                                        | 86                                        | 91                                        | 82                                        | 101                                       | 562                                       |
| ROBERTP.SHEEDY                            | (Candidate for Re-election)                      |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| 6 Deluca Rd.                              | (Candidate for Re-election)                      | 39                                        | 48                                        | 34                                        | 26                                        | 82                                        | 81                                        | 88                                        | 84                                        |                                           |
| CHARLESW.SKAFF                            |                                                  |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           | 482                                       |
| 2 Union St.                               | (Candidate for Re-election)                      | 34                                        | 54                                        | 43                                        | 30                                        | 77                                        | 87                                        | 89                                        | 71                                        | 485                                       |
| KEITHM.GATTOZZI                           |                                                  |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| 19 Court St.                              |                                                  | 31                                        | 47                                        | 33                                        | 32                                        | 60                                        | 80                                        | 60                                        | 74                                        | 417                                       |
| JASONO.VAZ 12 Windsor Rd.                 |                                                  | 22                                        | 24                                        | 29                                        | 29                                        | 51                                        | 56                                        | 54                                        | 38                                        | 303                                       |
|                                           |                                                  |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           | 0                                         |
| Write-In                                  | (Write-in Candidate)                             | 0                                         | 0                                         | 0                                         | 0                                         | 0                                         | 0                                         | 0                                         | 0                                         | 0                                         |
| Blanks                                    |                                                  | 113                                       | 155                                       | 102                                       | 121                                       | 158                                       | 228                                       | 235                                       | 237                                       | 1349                                      |
|                                           | TOTAL                                            | 355 71                                    | 515 103                                   | 380 76                                    | 345 69                                    | 675 135                                   | 805 161                                   | 800 160                                   | 770 154                                   | 3296 929                                  |
