## AnnualTownElection May 18, 2024

| Town of Hanson                | PrecinctPrecinctPrecinct 1    | EV I   | ⅡI   | EV tPrecinct I1   | Precinct III   | EV Precinct IⅢI   | Total   |
| Paul Benenato                        | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 1                                    |
| Blanks                               | 218                                  | 263                                  | 253                                  | 242                                  | 197                                  | 190                                  | 1363                                 |
| PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            | PLANNINGBOARDforFiveyears            |
| Donald H.Ellis*                      | 166                                  | 204                                  | 201                                  | 187                                  | 144                                  | 156                                  | 1058                                 |
| Write-ins (scattered)                | 1                                    | 2                                    | 3                                    | 3                                    | 2                                    | 2                                    | 13                                   |
| Blanks                               | 73                                   | 63                                   | 77                                   | 69                                   | 78                                   | 40                                   | 400                                  |
| HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         | HOUSINGAUTHORITYforFiveyears         |
| TeresaM.Santalucia*                  | 182                                  | 230                                  | 213                                  | 202                                  | 155                                  | 169                                  | 1151                                 |
| Write-ins (scattered)                | 1                                    | 0                                    | 2                                    | 1                                    | 1                                    | 0                                    | 5                                    |
| Blanks                               | 57                                   | 39                                   | 66                                   | 56                                   | 68                                   | 29                                   | 315                                  |

| Town of Hanson                        | I                                     | EV Precinct Precinct 1                | Precinct Ⅱ                     | EV Precinct                    | Precinct m                     | EV Precinct III                | Total                          |
|---------------------------------------|---------------------------------------|---------------------------------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|--------------------------------|
| CONSTABLEforThreeyears                |                                       |                                       |                                |                                |                                |                                |                                |
| (two tobeelected)                     |                                       |                                       |                                |                                |                                |                                |                                |
| David M. George*                      | 132                                   | 160                                   | 169                            | 148                            | 117                            | 129                            | 855                            |
| Steven W. Lyons*                      | 150                                   | 181                                   | 155                            | 169                            | 129                            | 132                            | 916                            |
| Coleman Perkins                       | 44                                    | 63                                    | 63                             | 58                             | 54                             | 59                             | 341                            |
| Write-ins(scattered)                  | 3                                     | 3                                     | 1                              | 0                              | 1                              | 0                              | 8                              |
| Blanks                                | 151                                   | 131                                   | 174                            | 143                            | 147                            | 76                             | 822                            |
| TRUSTEEOFPUBLICLIBRARY for threeyears | TRUSTEEOFPUBLICLIBRARY for threeyears | TRUSTEEOFPUBLICLIBRARY for threeyears |                                |                                |                                |                                |                                |
| (twotobeelected)                      |                                       |                                       |                                |                                |                                |                                |                                |
| Corinne C. Cafardo*                   | 170                                   | 220                                   | 199                            | 206                            | 151                            | 159                            | 1105                           |
| Linda A. Wall*                        | 173                                   | 220                                   | 206                            | 194                            | 152                            | 156                            | 1101                           |
| Write-ins (scattered)                 | 1                                     | 0                                     | 1                              | 1                              | 0                              | 0                              | 3                              |
| Blanks                                | 136                                   | 98                                    | 156                            | 117                            | 145                            | 81                             | 733                            |
